Model,Mean_Accuracy,Std_Accuracy,Mean_F1_Macro,Std_F1_Macro,Hyperparameters,N_Users_Evaluated,N_Users_Skipped,Total_Folds,Config_Hash,experiment_date,experiment_timestamp
Logit_L2,0.7340070508055049,0.11953037171195455,0.7163904165992456,0.11946273802758943,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 13, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",100,0,500,0c3b117eb89b9e8df90c063ceba45427,2025-11-05,2025-11-05 13:20:23
Logit_Weighted_L2,0.7288909565585541,0.11912845156796972,0.709837635758817,0.11819884758346874,"{'C': 1.0, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 13, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",100,0,500,3d33032d36f02b91f1e58108bca321d6,2025-11-05,2025-11-05 13:20:23
Logit_All_L2,0.724992975863896,0.12569790083237078,0.7012641902498405,0.12388998382223837,"{'C': 0.1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 13, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",100,0,500,d056d5930e368180be7f9cdb308d6b15,2025-11-05,2025-11-05 13:20:23
Logit_Weighted_All_L2,0.7223406139040625,0.12633777518379172,0.7005317212504661,0.12461563818432941,"{'C': 0.1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 13, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",100,0,500,4425fa22f1f33643829da389bc8fc710,2025-11-05,2025-11-05 13:20:23
RandomForest,0.642841309882059,0.11964784549371665,0.613753656595012,0.1139408362969971,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': 1, 'oob_score': False, 'random_state': 13, 'verbose': 0, 'warm_start': False}",100,0,500,fcbd7bca77b9fbcdda2675ee92f937c4,2025-11-05,2025-11-05 13:20:23
DecisionTree,0.5470703209672898,0.12975575968818914,0.5063316770674913,0.11306142275802028,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 13, 'splitter': 'best'}",100,0,500,8a80aed695ac50f7a4958757621a6397,2025-11-05,2025-11-05 13:20:23
DummyClassifier,0.14650182084011645,0.04367984254479657,0.10857457281031753,0.022345391734385205,"{'constant': None, 'random_state': 13, 'strategy': 'stratified'}",100,0,500,4e55fb11b8ba5fcfa07fc9e6317aee55,2025-11-05,2025-11-05 13:20:23
